Pair,L1,a1,b1,L2,a2,b2,DV,DV normF3,DECIEDE2000
3.25,50.595,-26.245,-17.51,50.71,-26.255,-17.465,0.518903505623303,0.290711692628732,0.118109991246966
3.26,50.595,-26.245,-17.51,50.68,-26.16,-17.56,0.9787098866225127,0.548314676143748,0.103294274831005
3.27,50.595,-26.245,-17.51,50.96,-25.65,-18.115,1.4385162676217225,0.805917659658763,0.640322777182957
3.28,50.595,-26.245,-17.51,50.775,-26.11,-17.44,0.7028260580229869,0.393752885810641,0.190933637687019
3.29,50.595,-26.245,-17.51,50.73,-26.23,-16.685,1.0706711628223546,0.599835272734702,0.486217707780336
3.30,50.595,-26.245,-17.51,50.71,-25.965,-17.23,0.42694222942346105,0.239191095477535,0.204254560235216
3.31,50.595,-26.245,-17.51,50.435,-26.195,-17.36,0.610864781823145,0.342232289219687,0.178372570892421
3.32,50.595,-26.245,-17.51,50.395,-26.305,-17.33,0.518903505623303,0.290711692628732,0.231087536974406
3.33,50.595,-26.245,-17.51,50.345,-26.49,-17.495,0.8867486104226707,0.496794078992551,0.279389962438239
3.34,50.595,-26.245,-17.51,50.6,-26.155,-18.345,1.4385162676217225,0.805917659658763,0.484683689617368
3.35,50.595,-26.245,-17.51,50.65,-25.38,-18.585,1.4385162676217225,0.805917659658763,0.859913426033465
3.36,50.595,-26.245,-17.51,50.31,-26.07,-18.125,1.2545937152220388,0.702876465916612,0.478901240822684
3.37,50.595,-26.245,-17.51,50.46,-25.985,-17.19,0.610864781823145,0.342232289219687,0.225255073127399
3.38,50.595,-26.245,-17.51,50.645,-25.76,-17.2,0.610864781823145,0.342232289219687,0.247589866722496
3.39,50.595,-26.245,-17.51,50.475,-26.02,-17.385,0.42694222942346105,0.239191095477535,0.161866928696432
3.40,50.595,-26.245,-17.51,50.475,-26.335,-17.315,0.7028260580229869,0.393752885810641,0.179288800736281
3.41,50.595,-26.245,-17.51,50.47,-26.235,-17.205,0.610864781823145,0.342232289219687,0.211659621696046
3.42,50.595,-26.245,-17.51,50.39,-26.425,-17.795,0.7028260580229869,0.393752885810641,0.255218690039294
3.43,50.595,-26.245,-17.51,50.365,-26.865,-17.335,0.610864781823145,0.342232289219687,0.423183565737451
3.44,50.595,-26.245,-17.51,50.3,-26.08,-17.42,0.7028260580229869,0.393752885810641,0.305319828232357
3.45,50.595,-26.245,-17.51,50.645,-26.41,-17.615,0.7947873342228289,0.445273482401596,0.0957781262459254
3.46,50.595,-26.245,-17.51,50.43,-25.94,-17.8,0.9787098866225127,0.548314676143748,0.308416281761803
3.47,50.595,-26.245,-17.51,50.6,-26.6,-17.55,0.7028260580229869,0.393752885810641,0.169324530676207
3.48,50.595,-26.245,-17.51,50.675,-26.435,-17.315,0.518903505623303,0.290711692628732,0.187310732054567
3.49,50.595,-26.245,-17.51,50.37,-25.915,-17.87,1.0706711628223546,0.599835272734702,0.378130525662577
3.50,50.595,-26.245,-17.51,50.535,-26.025,-18.495,1.3465549914218806,0.754397062507566,0.60118459437465
4.1,49.93,-16.24,-10.795,49.49,-16.285,-11.195,1.1702958787055167,0.655649252561651,0.510028337973891
4.2,49.93,-16.24,-10.795,48.9,-16.115,-10.645,1.0630077231390345,0.595541889498709,1.03487976023619
4.3,49.93,-16.24,-10.795,49.44,-15.32,-10.605,1.0898297620306552,0.610568730264444,0.798791444223734
4.4,49.93,-16.24,-10.795,49.34,-16.25,-11.115,1.036185684247414,0.580515048732973,0.626343407835638
4.5,49.93,-16.24,-10.795,50.19,-16.36,-10.53,1.0630077231390345,0.595541889498709,0.339470906105019
4.6,49.93,-16.24,-10.795,49.6,-16.53,-10.905,1.036185684247414,0.580515048732973,0.382312968686146
4.7,49.93,-16.24,-10.795,50.48,-15.53,-10.515,1.0093636453557935,0.565488207967238,0.732185427835936
4.8,49.93,-16.24,-10.795,50.78,-16.09,-11.28,1.1971179175971374,0.670676093327386,0.926054753634451
4.9,49.93,-16.24,-10.795,49.36,-16.085,-11.02,0.9825416064641728,0.550461367201502,0.607410729311128
4.10,49.93,-16.24,-10.795,49.63,-16.565,-10.9,0.6874991786563465,0.385166119898896,0.369572156962627
4.11,49.93,-16.24,-10.795,49.955,-16.275,-10.845,1.1434738398138964,0.640622411795915,0.042956835279062
4.12,49.93,-16.24,-10.795,49.52,-16.08,-11.06,0.9288975286809318,0.520407686230273,0.473221524911691
4.13,49.93,-16.24,-10.795,48.67,-16.21,-10.885,1.1434738398138964,0.640622411795915,1.25987228239543
4.14,49.93,-16.24,-10.795,49.695,-16.175,-10.855,0.8484314120060701,0.475327163933067,0.244975628665693
4.15,49.93,-16.24,-10.795,48.685,-16.2,-11.045,1.1702958787055167,0.655649252561651,1.25558254537558
4.16,49.93,-16.24,-10.795,49.755,-15.995,-10.865,0.9825416064641728,0.550461367201502,0.259873282319079
4.17,49.93,-16.24,-10.795,49.455,-16.345,-10.995,0.7947873342228289,0.445273482401596,0.492645101470724
4.18,49.93,-16.24,-10.795,49.75,-16.005,-10.91,0.8216093731144494,0.460300323167332,0.270979405964219
4.19,49.93,-16.24,-10.795,49.335,-15.585,-10.855,1.0093636453557935,0.565488207967238,0.763693616286965
4.20,49.93,-16.24,-10.795,49.605,-15.835,-10.72,0.7679652953312082,0.430246641635861,0.426032110546206
4.21,49.93,-16.24,-10.795,49.79,-16.06,-11.01,1.036185684247414,0.580515048732973,0.259278699053408
4.22,49.93,-16.24,-10.795,49.665,-16.405,-10.63,1.0093636453557935,0.565488207967238,0.321652118544389
4.23,49.93,-16.24,-10.795,49.795,-16.255,-10.925,1.0093636453557935,0.565488207967238,0.159068345312644
